gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,costat,ggroup
3157,20210930,2021,INDL,C,D,STD,COHR,USD,A,4520
3158,20211231,2021,INDL,C,D,STD,COHU,USD,A,4530
3170,20211231,2021,INDL,C,D,STD,CL,USD,A,3030
3203,20210831,2021,INDL,C,D,STD,CCF,USD,A,1510
3221,20211231,2021,INDL,C,D,STD,AON,USD,A,4030
3226,20211231,2021,INDL,C,D,STD,CMCSA,USD,A,5020
3231,20211231,2021,INDL,C,D,STD,CMA,USD,A,4010
3238,20211231,2021,INDL,C,D,STD,CBSH,USD,A,4010
3243,20211231,2021,INDL,C,D,STD,C,USD,A,4010
3246,20210831,2021,INDL,C,D,STD,CMC,USD,A,1510
3278,20211231,2021,INDL,C,D,STD,CAR,USD,A,2030
3358,20210731,2021,INDL,C,D,STD,CMTL,USD,A,4520
3362,20210531,2020,INDL,C,D,STD,CAG,USD,A,3020
3382,20211231,2021,INDL,C,D,STD,SSTK,USD,A,2550
3413,20211231,2021,INDL,C,D,STD,ED,USD,A,5510
3429,20211231,2021,INDL,C,D,STD,CTO,USD,A,6010
3439,20211231,2021,INDL,C,D,STD,CMS,USD,A,5510
3469,20211231,2021,INDL,C,D,STD,CLR,USD,A,1010
3504,20211031,2021,INDL,C,D,STD,COO,USD,A,3510
3532,20211231,2021,INDL,C,D,STD,GLW,USD,A,4520
3562,20211231,2021,INDL,C,D,STD,CUZ,USD,A,6010
3570,20210731,2021,INDL,C,D,STD,CBRL,USD,A,2530
3580,20211231,2021,INDL,C,D,STD,CR,USD,A,2010
3592,20211231,2021,INDL,C,D,STD,OMF,USD,A,4020
3619,20211231,2021,INDL,C,D,STD,CCK,USD,A,1510
3643,20211231,2021,INDL,C,D,STD,CFR,USD,A,4010
3650,20211231,2021,INDL,C,D,STD,CMI,USD,A,2010
3662,20211231,2021,INDL,C,D,STD,CW,USD,A,2010
3708,20211231,2021,INDL,C,D,STD,WEN,USD,A,2530
