gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,ebit,lct,lt,ni,sale,costat,prcc_c
7366,20211231,2021,INDL,C,D,STD,ETR,USD,3623.595,59454.242,11637.284,202.653,1845.626,6190.742,47529.438,1118.719,11742.896,A,112.65
7368,20211231,2021,INDL,C,D,STD,MSEX,USD,34.355,1020.015,367.726,17.522,33.211,56.619,650.205,36.543,143.141,A,120.3
7420,20211231,2021,INDL,C,D,STD,MSA,USD,792.804,2396.396,830.819,39.277,55.313,330.606,1562.008,21.34,1400.182,A,150.96
7435,20211231,2021,INDL,C,D,STD,MMM,USD,15403,47072,15046,571.845,7493,9035,31955,5921,35355,A,177.63
7437,20211231,2021,INDL,C,D,STD,ALE,USD,291.3,6435,2413.1,53.22,151.3,543.4,3488.7,169.2,1419.2,A,66.35
7486,20210331,2020,INDL,C,D,STD,MOD,USD,644.8,1276.7,348.7,51.6,95.8,469.2,920.6,-210.7,1808.4,A,12.56
7526,20211231,2021,INDL,C,D,STD,QDEL,USD,1440.31,2430.374,1929.362,41.686,915.839,323.52,501.012,704.226,1698.551,A,134.99
7585,20211231,2021,INDL,C,D,STD,MSI,USD,5412,12189,-40,168.7,1751,4063,12212,1245,8171,A,271.7
7620,20211231,2021,INDL,C,D,STD,MUR,USD,880.91,10304.94,4157.311,154.463,350.371,1164.326,5984.144,-73.664,2275.365,A,26.11
7636,20211231,2021,INDL,C,D,STD,MYE,USD,219.914,484.549,209.325,36.262,50.862,132.5,275.224,33.538,761.435,A,20.01
7647,20211231,2021,INDL,C,D,STD,BAC,USD,,3169495,245358,8077.831,48531,,2899429,31978,93851,A,44.49
7648,20211231,2021,INDL,C,D,STD,NCR,USD,2876,11641,1256,132.2,619,2808,10108,97,7156,A,40.2
7685,20210630,2021,INDL,C,D,STD,NSSC,USD,95.986,123.293,93.237,18.351,17.335,20.176,30.056,14.901,114.035,A,49.98
7733,20210930,2021,INDL,C,D,STD,NFG,USD,522.449,7464.825,1786.206,91.182,665.01,1236.133,5678.619,363.647,1742.659,A,63.94
